,v_x,v_y,r,omega_wheels,friction,delta,Iq,ax_imu,ay_imu,r_imu,run_id
0.76,1.634228188970146,-0.26729212337444785,-2.0313873208014774,1.6403236834862829,0.6,-0.5309939263528458,0.0,-3.472328657463189,-3.630768617767355,-1.9739456535412492,0
0.77,1.6209629281919726,-0.27006354485594236,-2.0176961751329263,1.6343394488027319,0.6,-0.5309947668450351,0.0,-3.100783609731886,-4.489508898117999,-1.946665315170209,0
0.78,1.599643760657548,-0.2660561901372944,-1.9955572226048632,1.6211251052226707,0.6,-0.5309954904177505,0.0,-0.9860611401648123,-4.118781720112194,-1.887186883872669,0
0.79,1.5874977025712596,-0.2678273901034804,-1.9873340453947015,1.6092912235079593,0.6,-0.5309961133354664,0.0,-2.7087840279478517,-1.0014114787039947,-1.918497864207629,0
0.8,1.571085251479316,-0.26007045780105253,-1.9681410180248489,1.584628642091735,0.6,-0.5309966496001323,0.0,-3.5918994274338614,-7.800211055493049,-1.9799572772158995,0
0.81,1.5635841947983777,-0.2667830115459145,-1.962808551208342,1.5481260213025758,0.6,-0.5309971112659103,0.0,-1.5006155481774113,1.7586372692301895,-1.9544163067693734,0
0.8200000000000001,1.5500195370869392,-0.26767368688203175,-1.9468128402369154,1.5299591819954796,0.6,-0.530997508710128,0.0,-1.6567002114437421,-5.468093687654987,-1.8960456307186477,0
0.8300000000000001,1.5383002293674757,-0.26574669726955746,-1.9371074750160053,1.504535565740553,0.6,-0.5309978508665402,0.0,-2.469377079128096,-6.6239710023164635,-2.052956792236661,0
0.84,1.5266320919875775,-0.265576920838366,-1.925733908800892,1.4960954218750229,0.6,-0.5309981454261417,0.0,-1.681597743354468,1.280750275647859,-2.067264984496451,0
0.85,1.506987134717417,-0.2679505255134299,-1.9067041555144462,1.4942363341784022,0.6,-0.5309983990100455,0.0,-2.9535979536693286,-1.460148165985697,-1.903179080194374,0
0.86,1.4999996543901917,-0.26391240172754143,-1.8986861147672927,1.4960079562021424,0.6,-0.5309986173183133,0.0,-2.392555711579217,-3.9742473367060223,-1.9661150116647768,0
0.87,1.4850238114135323,-0.2669482738460972,-1.8847249083803215,1.491840218010705,0.6,-0.5309988052580804,0.0,-1.4900796519563777,-1.4040641997284231,-1.7638017949685003,0
0.88,1.4744144309280403,-0.2632568328086545,-1.8817804283962973,1.4705960584811648,0.6,-0.5309989670538582,0.0,-1.012357502789131,-3.043125827932471,-1.7714043417780274,0
